"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Jan-2024","EQ","2,719.80","2,746.65","2,691.50","2,719.80","2,740.50","2,741.45","2,729.49","2,746.65","2,220.30","75,06,082","20,48,77,45,085.40","4,34,055"
"11-Jan-2024","EQ","2,659.00","2,725.00","2,657.00","2,650.10","2,716.00","2,719.80","2,695.73","2,725.00","2,220.30","1,18,62,926","31,97,92,89,599.90","5,81,952"
"10-Jan-2024","EQ","2,577.00","2,659.00","2,575.05","2,580.50","2,655.00","2,650.10","2,616.79","2,659.00","2,220.30","55,51,370","14,52,67,42,701.55","1,79,441"
"09-Jan-2024","EQ","2,600.00","2,606.80","2,577.20","2,587.35","2,580.50","2,580.50","2,592.44","2,634.00","2,220.30","27,01,537","7,00,35,71,441.95","1,30,706"
"08-Jan-2024","EQ","2,610.00","2,631.95","2,568.95","2,607.70","2,586.00","2,587.35","2,600.55","2,634.00","2,220.30","38,67,326","10,05,71,68,474.15","1,71,169"
"05-Jan-2024","EQ","2,602.90","2,619.85","2,598.00","2,596.65","2,609.00","2,607.70","2,606.82","2,634.00","2,220.30","40,43,203","10,53,98,86,698.05","2,11,413"
"04-Jan-2024","EQ","2,588.00","2,609.85","2,579.10","2,583.30","2,600.00","2,596.65","2,597.37","2,634.00","2,220.30","48,06,389","12,48,39,71,502.55","2,67,185"
"03-Jan-2024","EQ","2,610.00","2,634.00","2,577.20","2,611.70","2,580.75","2,583.30","2,606.46","2,634.00","2,220.30","45,18,768","11,77,80,06,447.25","1,98,303"
"02-Jan-2024","EQ","2,585.00","2,615.00","2,573.00","2,590.25","2,609.00","2,611.70","2,596.75","2,630.95","2,220.30","37,24,400","9,67,13,31,567.50","1,75,872"
"01-Jan-2024","EQ","2,580.55","2,606.85","2,573.15","2,584.95","2,588.45","2,590.25","2,588.14","2,630.95","2,220.30","20,15,270","5,21,58,08,110.05","1,15,559"
"29-Dec-2023","EQ","2,611.10","2,614.00","2,579.30","2,605.55","2,587.00","2,584.95","2,589.61","2,630.95","2,220.30","54,32,292","14,06,74,90,670.90","2,48,419"
"28-Dec-2023","EQ","2,589.80","2,612.00","2,586.85","2,586.85","2,605.00","2,605.55","2,602.58","2,630.95","2,220.30","61,51,318","16,00,92,95,262.65","2,28,625"
"27-Dec-2023","EQ","2,582.00","2,599.90","2,573.10","2,578.05","2,583.35","2,586.85","2,586.56","2,630.95","2,220.30","46,02,078","11,90,35,47,787.85","1,91,497"
"26-Dec-2023","EQ","2,568.00","2,591.95","2,562.70","2,565.05","2,579.00","2,578.05","2,579.88","2,630.95","2,220.30","37,32,832","9,63,02,62,624.25","1,88,513"
"22-Dec-2023","EQ","2,559.60","2,580.90","2,547.65","2,562.55","2,561.00","2,565.05","2,559.79","2,630.95","2,220.30","82,70,892","21,17,17,13,990.35","2,74,088"
"21-Dec-2023","EQ","2,527.00","2,573.50","2,518.25","2,527.15","2,561.00","2,562.55","2,551.74","2,630.95","2,220.30","68,82,727","17,56,29,46,483.40","2,35,158"
"20-Dec-2023","EQ","2,571.05","2,598.85","2,520.00","2,558.10","2,529.40","2,527.15","2,563.63","2,630.95","2,220.30","88,68,361","22,73,51,94,766.35","3,72,595"
"19-Dec-2023","EQ","2,555.00","2,573.90","2,525.20","2,521.00","2,556.50","2,558.10","2,553.63","2,630.95","2,220.30","84,10,302","21,47,67,99,671.65","3,31,728"
"18-Dec-2023","EQ","2,495.60","2,534.90","2,490.95","2,495.60","2,520.00","2,521.00","2,521.89","2,630.95","2,220.30","70,82,594","17,86,15,36,572.75","2,53,336"
"15-Dec-2023","EQ","2,478.00","2,500.00","2,470.05","2,464.15","2,492.00","2,495.60","2,487.92","2,630.95","2,220.30","79,66,076","19,81,89,94,725.95","2,19,982"
"14-Dec-2023","EQ","2,454.00","2,474.95","2,442.65","2,433.95","2,463.55","2,464.15","2,464.76","2,630.95","2,220.30","84,86,177","20,91,64,13,095.30","3,08,013"
"13-Dec-2023","EQ","2,422.00","2,438.35","2,406.30","2,424.05","2,432.05","2,433.95","2,422.37","2,630.95","2,220.30","50,15,591","12,14,96,35,536.75","2,03,903"
"12-Dec-2023","EQ","2,460.00","2,464.95","2,420.15","2,459.35","2,424.00","2,424.05","2,442.73","2,630.95","2,220.30","45,98,562","11,23,30,58,046.60","1,64,611"
"11-Dec-2023","EQ","2,456.00","2,467.60","2,452.40","2,455.75","2,460.90","2,459.35","2,459.80","2,630.95","2,220.30","35,33,069","8,69,06,54,768.25","1,48,258"
"08-Dec-2023","EQ","2,463.85","2,476.70","2,445.00","2,457.05","2,451.00","2,455.75","2,457.48","2,630.95","2,220.30","51,02,447","12,53,91,53,828.90","1,93,898"
"07-Dec-2023","EQ","2,460.00","2,460.95","2,442.00","2,461.10","2,456.15","2,457.05","2,453.62","2,630.95","2,220.30","40,71,048","9,98,87,95,871.30","1,69,328"
"06-Dec-2023","EQ","2,447.10","2,472.95","2,435.00","2,437.75","2,462.00","2,461.10","2,459.66","2,630.95","2,220.30","82,11,221","20,19,68,20,469.50","2,03,350"
"05-Dec-2023","EQ","2,439.00","2,440.85","2,421.65","2,420.20","2,437.15","2,437.75","2,435.32","2,630.95","2,220.30","63,46,812","15,45,64,91,179.15","2,70,813"
"04-Dec-2023","EQ","2,450.00","2,450.00","2,398.60","2,394.30","2,421.00","2,420.20","2,417.16","2,630.95","2,220.30","77,95,495","18,84,29,40,784.80","2,49,010"
"01-Dec-2023","EQ","2,378.00","2,396.40","2,377.60","2,377.45","2,393.00","2,394.30","2,389.47","2,630.95","2,220.30","71,71,421","17,13,59,06,079.40","2,18,016"
"30-Nov-2023","EQ","2,394.70","2,400.70","2,369.90","2,400.70","2,379.00","2,377.45","2,382.58","2,630.95","2,220.30","1,42,19,992","33,88,02,61,609.25","3,68,003"
"29-Nov-2023","EQ","2,408.00","2,411.95","2,398.05","2,394.40","2,400.00","2,400.70","2,406.54","2,630.95","2,220.30","62,65,653","15,07,85,54,701.80","1,61,091"
"28-Nov-2023","EQ","2,393.90","2,399.70","2,375.25","2,393.90","2,395.15","2,394.40","2,383.04","2,630.95","2,220.30","68,96,087","16,43,36,74,720.45","2,21,537"
"24-Nov-2023","EQ","2,391.60","2,402.60","2,391.05","2,395.50","2,394.25","2,393.90","2,397.29","2,630.95","2,220.30","33,74,743","8,09,02,26,237.15","1,82,231"
"23-Nov-2023","EQ","2,388.20","2,400.00","2,388.20","2,388.20","2,393.90","2,395.50","2,395.76","2,630.95","2,220.30","42,65,771","10,21,97,70,255.80","1,51,936"
"22-Nov-2023","EQ","2,375.00","2,394.45","2,372.20","2,378.90","2,387.00","2,388.20","2,385.76","2,630.95","2,220.30","42,67,407","10,18,10,03,165.90","1,77,755"
"21-Nov-2023","EQ","2,366.00","2,388.00","2,360.20","2,349.35","2,377.00","2,378.90","2,377.09","2,630.95","2,220.30","41,07,225","9,76,32,57,904.05","1,63,809"
"20-Nov-2023","EQ","2,348.55","2,358.40","2,336.40","2,355.55","2,349.00","2,349.35","2,346.96","2,630.95","2,220.30","22,45,093","5,26,91,53,540.00","1,17,438"
"17-Nov-2023","EQ","2,352.90","2,373.25","2,352.05","2,360.70","2,354.85","2,355.55","2,363.50","2,630.95","2,220.30","38,79,317","9,16,87,51,612.00","1,40,454"
